year,prize_money_aud,attendance,mens_winner,womens_winner
2000,13000000,501251,Andre Agassi,Lindsay Davenport
2001,13857625,543834,Andre Agassi,Jennifer Capriati
2002,16500000,518248,Thomas Johansson,Jennifer Capriati
2003,18180000,512225,Andre Agassi,Serena Williams
2004,19000000,521691,Roger Federer,Justine Henin
2005,19100000,543873,Marat Safin,Serena Williams
2006,19300000,550550,Roger Federer,Amelie Mauresmo
2007,20000000,554858,Roger Federer,Serena Williams
2008,20600000,605735,Novak Djokovic,Maria Sharapova
2009,23140000,603160,Rafael Nadal,Serena Williams
2010,24094000,653860,Roger Federer,Serena Williams
2011,25000000,687000,Novak Djokovic,Kim Clijsters
2012,30000000,686000,Novak Djokovic,Victoria Azarenka
2013,32000000,703000,Novak Djokovic,Victoria Azarenka
2014,33000000,643280,Stan Wawrinka,Li Na
2015,40000000,703899,Novak Djokovic,Serena Williams
2016,44000000,720363,Novak Djokovic,Angelique Kerber
2017,50000000,728763,Roger Federer,Serena Williams
2018,55000000,743667,Roger Federer,Caroline Wozniacki
2019,62500000,796435,Novak Djokovic,Naomi Osaka
2020,71000000,812174,Novak Djokovic,Sofia Kenin
2021,80000000,390000,Novak Djokovic,Naomi Osaka
2022,74000000,346468,Rafael Nadal,Ashleigh Barty
2023,86500000,835000,Novak Djokovic,Aryna Sabalenka
2024,86500000,1110657,Jannik Sinner,Aryna Sabalenka
2025,96500000,1218831,Jannik Sinner,Madison Keys
2026,111500000,1300000,Carlos Alcaraz,Elena Rybakina
