tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,1,200001,1,,Martina Hingis,R,170,SUI,19.2,200002,,,Mirjana Lucic,R,181,CRO,17.8,6-1 6-2,3,R128,,,,,,,,,,,,,,,,,,,,1,6003,49,640
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,2,200003,,,Justine Henin,R,167,BEL,17.6,200004,,Q,Kerry Anne Guse,R,159,AUS,27.1,6-4 6-2,3,R128,,,,,,,,,,,,,,,,,,,,63,510,133,199
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,3,200006,,,Karina Habsudova,R,170,SVK,26.4,200005,,,Jolene Watanabe,R,,USA,31.3,6-0 6-1,3,R128,,,,,,,,,,,,,,,,,,,,53,574,118,243
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,4,200008,,,Alicia Molik,R,182,AUS,18.9,200007,,,Silvija Talaja,R,173,CRO,22.0,6-1 5-7 7-5,3,R128,,,,,,,,,,,,,,,,,,,,116,245,23,1112
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,5,200009,,,Tamarine Tanasugarn,R,165,THA,22.6,200010,,,Rita Grande,R,177,ITA,24.8,6-3 6-4,3,R128,,,,,,,,,,,,,,,,,,,,72,439,60,516
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,6,200012,,,Jana Nejedly,R,175,CAN,25.6,200011,,,Katarina Srebotnik,R,180,SLO,18.8,6-4 1-6 6-4,3,R128,,,,,,,,,,,,,,,,,,,,84,347,66,484
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,7,200013,,SR,Angelica Gavaldon,R,,MEX,26.2,200014,,Q,Tzipi Obziler,R,172,ISR,26.7,6-4 4-6 6-4,3,R128,,,,,,,,,,,,,,,,,,,,320,52,214,97
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,8,200016,12,,Sandrine Testud,R,176,FRA,27.7,200015,,,Petra Mandula,R,178,HUN,21.9,6-3 4-6 6-3,3,R128,,,,,,,,,,,,,,,,,,,,14,1635,109,271
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,9,200017,13,,Arantxa Sanchez Vicario,R,168,ESP,28.0,200018,,,Julia Abe,R,,GER,23.6,6-2 6-2,3,R128,,,,,,,,,,,,,,,,,,,,15,1558,113,255
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,10,200020,,,Lisa Raymond,R,165,USA,26.4,200019,,Q,Alexandra Fusai,R,176,FRA,26.1,5-7 6-4 6-4,3,R128,,,,,,,,,,,,,,,,,,,,28,926,177,132
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,11,200022,,,Emmanuelle Gagliardi,R,171,SUI,23.5,200021,,,Alexia Dechaume Balleret,R,,FRA,29.7,6-2 6-0,3,R128,,,,,,,,,,,,,,,,,,,,71,454,101,296
2000-W-SL-AUS-01A-2000,Australian Open,Hard,128,G,20000117,12,200023,,WC,Bryanne Stewart,R,174,AUS,20.1,200024,,,Maria Vento Kabchi,R,168,VEN,25.6,7-5 6-3,3,R128,,,,,,,,,,,,,,,,,,,,275,68,88,332
