iso,year,appearances
ARG,2000,11
ARG,2001,14
ARG,2002,15
ARG,2003,21
ARG,2004,17
ARG,2005,25
ARG,2006,22
ARG,2007,15
ARG,2008,18
ARG,2009,16
ARG,2010,12
ARG,2011,12
ARG,2012,14
ARG,2013,9
ARG,2014,8
ARG,2015,7
ARG,2016,11
ARG,2017,9
ARG,2018,15
ARG,2019,8
ARG,2020,12
ARG,2021,6
ARG,2022,10
ARG,2023,12
ARG,2024,11
ARG,2025,12
ARG,2026,16
AUS,2000,26
AUS,2001,23
AUS,2002,10
AUS,2003,23
AUS,2004,18
AUS,2005,16
AUS,2006,12
AUS,2007,11
AUS,2008,13
AUS,2009,10
AUS,2010,12
AUS,2011,8
AUS,2012,15
AUS,2013,12
AUS,2014,12
AUS,2015,23
AUS,2016,19
AUS,2017,17
AUS,2018,14
AUS,2019,21
AUS,2020,21
AUS,2021,23
AUS,2022,18
AUS,2023,19
AUS,2024,23
AUS,2025,25
AUS,2026,19
AUT,2000,4
AUT,2001,2
AUT,2002,7
AUT,2003,4
AUT,2004,4
AUT,2005,4
AUT,2006,2
AUT,2007,3
AUT,2008,7
AUT,2009,5
AUT,2010,5
AUT,2011,4
AUT,2012,1
AUT,2013,3
AUT,2014,2
AUT,2015,5
AUT,2016,3
AUT,2017,6
AUT,2018,7
AUT,2019,2
AUT,2020,8
AUT,2021,5
AUT,2023,1
AUT,2024,2
AUT,2026,1
BEL,2000,4
BEL,2001,4
BEL,2002,5
BEL,2003,8
BEL,2004,3
BEL,2005,7
BEL,2006,10
BEL,2007,5
BEL,2008,5
BEL,2009,5
BEL,2010,4
BEL,2011,3
BEL,2012,4
BEL,2013,7
BEL,2015,3
BEL,2016,5
BEL,2017,8
BEL,2018,4
BEL,2019,4
BEL,2020,3
BEL,2021,2
BEL,2022,1
BEL,2023,1
BEL,2024,2
BEL,2025,3
BEL,2026,3
BGR,2000,1
BGR,2011,2
BGR,2012,2
BGR,2013,1
BGR,2014,5
BGR,2015,4
BGR,2016,3
BGR,2017,6
BGR,2018,5
BGR,2019,4
BGR,2020,2
BGR,2021,5
BGR,2022,2
BGR,2023,3
BGR,2024,3
BGR,2025,1
BGR,2026,1
BRA,2000,2
BRA,2001,4
BRA,2002,6
BRA,2003,6
BRA,2004,5
BRA,2005,3
BRA,2006,2
BRA,2009,2
BRA,2010,4
BRA,2011,4
BRA,2012,5
BRA,2013,1
BRA,2014,2
BRA,2015,2
BRA,2016,2
BRA,2017,4
BRA,2018,1
BRA,2020,1
BRA,2021,2
BRA,2022,1
BRA,2023,1
BRA,2024,1
BRA,2025,4
BRA,2026,1
CAN,2000,1
CAN,2001,3
CAN,2007,2
CAN,2008,3
CAN,2009,2
CAN,2011,5
CAN,2012,4
CAN,2013,6
CAN,2014,7
CAN,2015,8
CAN,2016,7
CAN,2017,6
CAN,2018,5
CAN,2019,8
CAN,2020,8
CAN,2021,12
CAN,2022,10
CAN,2023,8
CAN,2024,5
CAN,2025,6
CAN,2026,5
CHE,2000,7
CHE,2001,11
CHE,2002,7
CHE,2003,7
CHE,2004,7
CHE,2005,6
CHE,2006,10
CHE,2007,11
CHE,2008,8
CHE,2009,10
CHE,2010,12
CHE,2011,11
CHE,2012,9
CHE,2013,10
CHE,2014,13
CHE,2015,9
CHE,2016,10
CHE,2017,13
CHE,2018,9
CHE,2019,8
CHE,2020,11
CHE,2021,3
CHE,2022,1
CHE,2023,2
CHE,2024,1
CHE,2025,2
CHE,2026,3
CHL,2001,3
CHL,2002,10
CHL,2003,2
CHL,2004,2
CHL,2005,5
CHL,2006,2
CHL,2007,10
CHL,2008,6
CHL,2009,5
CHL,2010,4
CHL,2018,1
CHL,2019,2
CHL,2020,4
CHL,2022,5
CHL,2023,3
CHL,2024,3
CHL,2025,4
CHL,2026,2
CHN,2013,1
CHN,2014,2
CHN,2015,1
CHN,2016,1
CHN,2019,1
CHN,2023,4
CHN,2024,5
CHN,2025,3
CHN,2026,6
COL,2008,2
COL,2010,5
COL,2011,3
COL,2012,5
COL,2013,3
COL,2014,4
COL,2015,5
COL,2016,2
COL,2017,1
COL,2020,1
COL,2023,1
COL,2024,2
CZE,2000,13
CZE,2001,9
CZE,2002,13
CZE,2003,8
CZE,2004,12
CZE,2005,12
CZE,2006,12
CZE,2007,12
CZE,2008,8
CZE,2009,9
CZE,2010,5
CZE,2011,11
CZE,2012,7
CZE,2013,11
CZE,2014,10
CZE,2015,10
CZE,2016,11
CZE,2017,7
CZE,2018,8
CZE,2019,5
CZE,2021,4
CZE,2022,4
CZE,2023,8
CZE,2024,9
CZE,2025,10
CZE,2026,11
DEU,2000,15
DEU,2001,21
DEU,2002,14
DEU,2003,12
DEU,2004,7
DEU,2005,14
DEU,2006,24
DEU,2007,19
DEU,2008,14
DEU,2009,17
DEU,2010,20
DEU,2011,16
DEU,2012,17
DEU,2013,15
DEU,2014,13
DEU,2015,11
DEU,2016,6
DEU,2017,14
DEU,2018,15
DEU,2019,12
DEU,2020,13
DEU,2021,10
DEU,2022,16
DEU,2023,6
DEU,2024,12
DEU,2025,12
DEU,2026,10
DNK,2002,4
DNK,2003,2
DNK,2004,1
DNK,2005,1
DNK,2006,1
DNK,2007,1
DNK,2012,1
DNK,2021,1
DNK,2022,1
DNK,2023,4
DNK,2024,2
DNK,2025,4
ECU,2000,2
ECU,2001,2
ECU,2002,4
ECU,2003,3
ECU,2004,2
ECU,2007,2
ECU,2009,1
ECU,2010,1
ECU,2022,1
ESP,2000,21
ESP,2001,24
ESP,2002,27
ESP,2003,34
ESP,2004,30
ESP,2005,29
ESP,2006,23
ESP,2007,27
ESP,2008,31
ESP,2009,36
ESP,2010,29
ESP,2011,36
ESP,2012,33
ESP,2013,31
ESP,2014,34
ESP,2015,29
ESP,2016,31
ESP,2017,23
ESP,2018,20
ESP,2019,26
ESP,2020,25
ESP,2021,23
ESP,2022,29
ESP,2023,15
ESP,2024,13
ESP,2025,19
ESP,2026,18
FIN,2002,1
FIN,2003,3
FIN,2004,2
FIN,2005,3
FIN,2006,3
FIN,2007,2
FIN,2008,5
FIN,2009,1
FIN,2010,2
FIN,2011,1
FIN,2012,1
FIN,2013,2
FIN,2014,2
FIN,2015,3
FIN,2021,2
FIN,2022,1
FIN,2023,2
FIN,2024,2
FIN,2025,1
FRA,2000,21
FRA,2001,25
FRA,2002,21
FRA,2003,20
FRA,2004,26
FRA,2005,17
FRA,2006,29
FRA,2007,28
FRA,2008,37
FRA,2009,34
FRA,2010,27
FRA,2011,24
FRA,2012,32
FRA,2013,33
FRA,2014,38
FRA,2015,20
FRA,2016,30
FRA,2017,27
FRA,2018,22
FRA,2019,21
FRA,2020,19
FRA,2021,15
FRA,2022,23
FRA,2023,22
FRA,2024,31
FRA,2025,28
FRA,2026,19
GBR,2000,6
GBR,2001,8
GBR,2002,8
GBR,2004,4
GBR,2005,5
GBR,2006,2
GBR,2007,5
GBR,2008,2
GBR,2009,4
GBR,2010,7
GBR,2011,7
GBR,2012,7
GBR,2013,8
GBR,2014,5
GBR,2015,9
GBR,2016,9
GBR,2017,10
GBR,2018,6
GBR,2019,5
GBR,2020,4
GBR,2021,4
GBR,2022,7
GBR,2023,11
GBR,2024,8
GBR,2025,8
GBR,2026,6
GRC,2008,1
GRC,2018,1
GRC,2019,6
GRC,2020,3
GRC,2021,6
GRC,2022,6
GRC,2023,7
GRC,2024,4
GRC,2025,1
GRC,2026,2
HRV,2000,3
HRV,2001,1
HRV,2002,5
HRV,2003,6
HRV,2004,8
HRV,2005,7
HRV,2006,9
HRV,2007,7
HRV,2008,9
HRV,2009,13
HRV,2010,17
HRV,2011,10
HRV,2012,5
HRV,2013,7
HRV,2014,5
HRV,2015,5
HRV,2016,6
HRV,2017,7
HRV,2018,11
HRV,2019,10
HRV,2020,7
HRV,2021,3
HRV,2022,4
HRV,2023,1
HRV,2024,3
HRV,2025,1
HRV,2026,4
HUN,2002,2
HUN,2003,1
HUN,2018,4
HUN,2019,2
HUN,2020,4
HUN,2021,4
HUN,2022,1
HUN,2023,3
HUN,2024,5
HUN,2025,3
HUN,2026,5
IND,2000,2
IND,2011,1
IND,2013,2
IND,2014,1
IND,2015,1
IND,2016,1
IND,2018,1
IND,2019,1
IND,2020,1
IND,2021,1
IND,2024,2
IND,2025,1
ITA,2000,6
